,x,y,heading
0,0.0,0.0,270.0
1,0.013454288163784986,1.4162154649036233e-05,269.879509261405
2,0.02690857632756997,5.6526873328082805e-05,269.7597972625617
3,0.040362864491354955,0.00012691153813504648,269.64086501800915
4,0.05381715265513994,0.00022513353116783416,269.52271350197174
5,0.06727144081892493,0.00035101023452435264,269.40534364897195
6,0.08072572898270991,0.0005043590303025085,269.2887563544441
7,0.0941800171464949,0.0006849973006002088,269.172952475348
8,0.10763430531027988,0.0008927424275153604,269.05793283078293
9,0.12108859347406487,0.0011274117931458698,268.9436982026015
10,0.13454288163784986,0.0013888227795896444,268.83024933602314
11,0.14799716980163485,0.0016767927689445902,268.71758694024675
12,0.16145145796541982,0.0019911391433086135,268.6057116890635
13,0.17490574612920481,0.002331679284779623,268.4946242214678
14,0.1883600342929898,0.0026982305754555246,268.3843251422674
15,0.20181432245677478,0.0030906103974342246,268.2748150226927
16,0.21526861062055977,0.003508636132813631,268.1660944010039
17,0.22872289878434476,0.0039521251636916496,268.0581637830969
18,0.24217718694812973,0.004420894872166186,267.95102364310753
19,0.25563147511191475,0.004914762640335152,267.8446744240132
20,0.2690857632756997,0.0054335458502964475,267.7391165382331
21,0.2825400514394847,0.005977061884147981,267.63435036822557
22,0.2959943396032697,0.0065451281239876655,267.53037626708357
23,0.3094486277670547,0.007137561951913401,267.42719455912703
24,0.32290291593083964,0.007754180750023095,267.3248055404929
25,0.33635720409462466,0.00839480190041466,267.2232094797219
26,0.34981149225840963,0.009059242785185995,267.122406618343
27,0.3632657804221946,0.009747320786435011,267.0223971714538
28,0.3767200685859796,0.010458853286259616,266.9231813282987
29,0.3901743567497646,0.011193657666757712,266.8247592528429
30,0.40362864491354955,0.011951551310027212,266.72713108434334
31,0.41708293307733457,0.012732351598166021,266.63029693791617
32,0.43053722124111954,0.01353587591327204,266.5342569051001
33,0.4439915094049045,0.014361941637443181,266.4390110544164
34,0.4574457975686895,0.015210366152777354,266.3445594319249
35,0.4709000857324745,0.01608096684137246,266.2509020617757
36,0.48435437389625946,0.016973561085326407,266.1580389467576
37,0.4978086620600445,0.017887966266737103,266.06597006884135
38,0.5112629502238295,0.018823999767702458,265.97469538971967
39,0.5247172383876144,0.019781478970320364,265.8842148513423
40,0.5381715265513994,0.020760221256688752,265.79452837644703
41,0.5516258147151845,0.021760044008905514,265.70563586908617
42,0.5650801028789694,0.02278076460906854,265.6175372151483
43,0.5785343910427544,0.023822200439275777,265.5302322828761
44,0.5919886792065394,0.024884168881625104,265.4437209233788
45,0.6054429673703243,0.02596648731821443,265.3580029711405
46,0.6188972555341093,0.02706897313114167,265.2730782445231
47,0.6323515436978944,0.02819144370250473,265.18894654626564
48,0.6458058318616793,0.0293337164144015,265.1056076639774
49,0.6592601200254643,0.030495608648929917,265.0230613706271
50,0.6727144081892493,0.031676937788187864,264.94130742502665
51,0.6861686963530342,0.032877521214273245,264.86034557231045
52,0.6996229845168193,0.03409717630928399,264.78017554440925
53,0.7130772726806043,0.035335720455317986,264.7007970605192
54,0.7265315608443892,0.03659297103447314,264.62220982756594
55,0.7399858490081742,0.037868745428847383,264.54441354066313
56,0.7534401371719592,0.03916286102053859,264.4674078835668
57,0.7668944253357441,0.04047513519164468,264.39119252912366
58,0.7803487134995292,0.04180538532426357,264.31576713971464
59,0.7938030016633142,0.043153428800493165,264.2411313676936
60,0.8072572898270991,0.04451908300243135,264.1672848558202
61,0.8207115779908841,0.04590216531217606,264.0942272376881
62,0.8341658661546691,0.047302493111825175,264.0219581381478
63,0.847620154318454,0.04871988378347661,263.95047717372444
64,0.8610744424822391,0.0501541547092283,263.8797839530299
65,0.8745287306460241,0.051605123271178124,263.80987807717025
66,0.887983018809809,0.053072606851423974,263.7407591401477
67,0.901437306973594,0.054556422832063786,263.67242672925755
68,0.914891595137379,0.05605638859519547,263.6048804254795
69,0.928345883301164,0.05757232152291691,263.5381198038641
70,0.941800171464949,0.05910403899732603,263.472144433914
71,0.955254459628734,0.06065135840052073,263.4069538799599
72,0.9687087477925189,0.0622140971145989,263.34254770153103
73,0.9821630359563039,0.06379207252165849,263.278925453721
74,0.995617324120089,0.06538510200379737,263.2160866875481
75,1.0090716122838739,0.06699300294311343,263.1540309503104
76,1.022525900447659,0.06861559272170466,263.09275778593576
77,1.035980188611444,0.07025268872166884,263.0322667353269
78,1.0494344767752288,0.071904108325104,262.97255733670113
79,1.062888764939014,0.07356966891410799,262.9136291259247
80,1.0763430531027989,0.07524918787077871,262.85548163684257
81,1.0897973412665838,0.07694248257721405,262.79811440160313
82,1.103251629430369,0.07864937041551201,262.74152695097695
83,1.1167059175941538,0.08036966876777038,262.6857188146717
84,1.1301602057579387,0.08210319501608711,262.630689521641
85,1.1436144939217239,0.08384976654256016,262.57643860038917
86,1.1570687820855088,0.08560920072928736,262.5229655792701
87,1.1705230702492937,0.08738131495836667,262.47026998678194
88,1.1839773584130788,0.08916592661189596,262.4183513518563
89,1.1974316465768637,0.09096285307197316,262.36720920414285
90,1.2108859347406487,0.09277191172069615,262.3168430742888
91,1.2243402229044338,0.0945929199401629,262.2672524942136
92,1.2377945110682187,0.09642569511247123,262.218436997379
93,1.2512487992320036,0.0982700546197191,262.17039611905386
94,1.2647030873957887,0.10012581584400444,262.1231293965745
95,1.2781573755595736,0.10199279616742506,262.0766363696
96,1.2916116637233586,0.10387081297207895,262.0309165803633
97,1.3050659518871437,0.10575968364006404,261.9859695739167
98,1.3185202400509286,0.10765922555347816,261.9417948983735
99,1.3319745282147135,0.10956925609441924,261.89839210514435
